year,crop_code,crop_name,gross_value_survey_usd_ac,operating_cost_usd_ac,return_above_operating_survey_usd_ac,total_production_cost_usd_ac,return_above_total_survey_usd_ac,price_usd_bu,survey_yield_bu_ac
2016,SB,Soybean,491.92,160.31,331.61,443.46,48.46,9.46,52
2016,SG,Sorghum,176.43,124.93,51.5,304.08,-127.65,2.74,63
2016,WT,Wheat,208.46,108.8,99.66,300.94,-92.48,3.93,51
2017,MZ,Maize,600.03,326.26,273.77,666.28,-66.25,3.25,184
2017,SB,Soybean,454.72,158.08,296.64,443.5,11.22,9.28,49
2017,SG,Sorghum,185.71,123.32,62.39,305.29,-119.58,3.17,57
2017,WT,Wheat,224.61,122.89,101.72,306.76,-82.15,4.8,46
2018,MZ,Maize,628.11,332.73,295.38,685.11,-57,3.42,183
2018,SB,Soybean,458.91,187.16,271.75,495.86,-36.95,8.61,53
2018,SG,Sorghum,182,123.09,58.91,308.98,-126.98,3.23,55
2018,WT,Wheat,258.28,128.76,129.52,322.5,-64.22,5.21,49
